n_epochs_elapsed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
n_training_episodes_elapsed,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000
n_training_steps_elapsed,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000,105000,110000,115000,120000,125000,130000,135000,140000,145000,150000,155000,160000,165000,170000,175000,180000,185000,190000,195000,200000,205000,210000,215000,220000,225000,230000,235000,240000,245000,250000,255000,260000,265000,270000,275000,280000,285000,290000,295000,300000,305000,310000,315000,320000,325000,330000,335000,340000,345000,350000,355000,360000,365000,370000,375000,380000,385000,390000,395000,400000,405000,410000,415000,420000,425000,430000,435000,440000,445000,450000,455000,460000,465000,470000,475000,480000,485000,490000,495000,500000
max_expected_returns,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573
scores,72.0,50.0,85.0,81.0,74.0,76.0,71.0,82.0,90.0,101.0,65.0,80.0,75.0,79.0,75.0,115.0,75.0,110.0,77.0,90.0,100.0,75.0,96.0,90.0,95.0,85.0,91.0,105.0,60.0,70.0,85.0,85.0,110.0,95.0,80.0,100.0,115.0,80.0,95.0,70.0,70.0,90.0,90.0,65.0,80.0,105.0,90.0,80.0,80.0,100.0,70.0,65.0,85.0,95.0,100.0,75.0,90.0,100.0,90.0,110.0,73.0,45.0,50.0,75.0,75.0,100.0,100.0,74.0,105.0,81.0,80.0,60.0,95.0,90.0,80.0,95.0,80.0,70.0,85.0,85.0,75.0,60.0,80.0,85.0,70.0,60.0,75.0,95.0,105.0,85.0,95.0,100.0,75.0,90.0,90.0,90.0,80.0,85.0,76.0,80.0
expected_returns,68.34901734218637,48.02147176332362,86.43491274705386,83.93186019198504,81.94060986460813,75.92398401683405,82.7001896931384,82.73741950729175,86.07458634989787,82.33074765032089,85.13412607232823,77.52477814191715,84.95056266802455,77.36749455208266,86.80331184782972,86.80555552628103,86.7708076541569,86.68457510109657,75.26665989397121,86.8016349671524,86.80331184782972,85.34486980267617,84.09697597805594,86.33912080800106,84.51436089456725,86.80555425619545,73.4273294509068,86.8055052639251,86.80536387945918,82.71339302523988,86.5206963235811,86.80555554925388,86.67758561637568,78.48978993631441,86.80368147526767,86.7869980284428,86.79899970281413,86.79283506404172,86.2186123558663,86.80555179643734,86.78556805316927,86.79817798706695,86.33770349264076,86.73197298472238,86.80420295886233,86.80555477181568,86.8055555447255,86.80526540828613,86.80494083076447,86.80501464903683,86.6372581146198,86.80534370909902,86.80555555555573,86.77103872117985,86.77298697930344,86.75598642928371,86.7653541478122,86.78409967063686,85.92154555519765,86.72060636366083,85.7332498411707,86.80555420023454,86.80555555555536,83.78412305222159,86.80555549280564,86.24543348526005,84.3127918356016,81.22617643659557,86.54307874208415,84.4557180365411,84.67889378041995,86.80470505197243,86.03430085272932,86.60912931620595,86.0882697284011,86.80540832516839,86.804850384383,86.80555555202005,86.8029854217384,86.29564123742956,86.80553965748607,86.16429773205846,86.80549932214038,86.80555554847415,86.79937134564783,86.80545824106902,86.76453132543774,86.67573221877133,86.8055554188143,86.79527547527505,86.80549431578412,86.7720438780288,86.8044950313849,86.80218586856414,86.792204112037,86.72895112068436,86.73648531322499,86.80555530649482,86.52956799550589,86.71906222872677
critic_evals,-94.849153680615,-113.8066630486795,25.238713753329815,-39.454653070982225,-24.862269598941914,-94.03734865870267,-111.82449502265075,0.19779798254339387,25.47996105393651,-3.4237156607724364,32.93984592621557,-108.60987168037734,20.104965502879622,-163.15719234099151,29.36086314920388,16.982680268310247,15.703749486021552,20.288291731782547,-65.49717180923386,7.602324454044002,14.240447484487357,16.21305054251383,-33.46782788667838,7.253625499937389,-52.40516067567691,13.310378427813303,-103.31332616331746,11.352602529504734,8.3381918435372,-30.23756325030084,-2.0353383624431443,-0.5900684943479126,-2.55089618178814,-16.55014918695467,-10.570210644279474,-15.379418347854246,-12.69235918441169,-11.552787129102512,-16.977820282514983,-19.678766601249343,-19.439748270559473,-27.687849396515244,-25.93227545498261,-21.80220688469707,-19.812436889896304,-22.16156085368557,-19.637921960962053,-22.00659369689069,-26.970637498072847,-19.80926477070383,-19.018430638216465,-22.826880551973844,-23.997058472729893,-23.698862283931195,-22.676409334252135,-25.093124777552017,-21.028296974144173,-12.903644390175337,-21.275129056746813,-15.538146688919854,-151.23723812812597,-13.53540222435389,-14.26554626919779,-22.14450807895973,-14.763768453698532,-14.805210478071078,-13.011592693440203,-22.12201048155478,-11.268161061633002,-83.02633119873131,-11.641880832245853,-13.006041157395684,-11.63900834036464,-9.416712848068675,-11.750048297419912,-13.55066854585024,-13.402607378174904,-2.7107172086800038,-10.239831423500359,-9.030128951091033,-13.33771345127357,-8.982917683262807,-12.132612980164177,-12.603253252870276,-7.002771902404156,-8.687174419325503,-9.687109350869818,-11.385326833101807,-9.65559519325111,-10.858160602490099,-8.445075068846977,-9.513600436907218,-6.242913796702071,-6.240314799416716,-5.116907368208446,-4.28958648824392,-7.718320140077991,-8.781693333473793,-4.788707366857468,-6.229477073347089
critic_score_losses,13919.320041968744,13416.31142957181,1785.7056669282254,7254.661723225345,4886.874175126936,14456.34996944061,16712.397990143625,3345.800127452391,2081.417712800775,5452.156196200925,513.9267396173982,17786.841847644206,1506.7324062200182,29320.05290123598,1041.4654062428483,4803.697483692149,1758.0226625082448,4024.095300200878,10152.721986815157,3394.688467688317,3677.350423830485,1727.952713258517,8380.959228847289,3423.481246452306,10864.140696911063,2569.700920581668,18878.8343623259,4384.9175264984615,1334.471210997583,5023.78454317903,3787.5750619324835,3662.829912433584,6333.852115661827,6221.717891815922,4101.481528074577,6656.2050891445815,8152.669297040404,4190.956415553379,6269.516117611612,4021.140589560678,3999.7342853505234,6925.214947788427,6720.146246084981,3767.3115600268757,4981.261278949766,8085.031279372789,6010.236965959002,5202.67257882127,5721.358643372055,7177.129962448307,3962.1404966454784,3856.7804737453407,5940.1793778538495,7044.709953749832,7524.750703572491,5009.316813867299,6163.6413644893755,6373.616458291586,6191.077173297828,7879.913137044379,25141.169481664936,1713.196656783447,2065.0302186392005,4718.527724951537,4028.767063504602,6590.1181764571,6385.810041554014,4619.720449508063,6759.142638326917,13452.31866325795,4199.117161235774,2664.9410227376766,5685.939049908179,4941.841396757671,4209.035681289443,5891.62382087552,4362.023532520747,2643.4241985003177,4535.3127447883835,4420.8325752794035,3901.7758088996598,2379.3214660479066,4244.2091872763585,4763.197522771966,2964.713440326842,2358.9639648554216,3585.953245103091,5658.918882692945,6572.952754559335,4594.393477046393,5350.441777999693,5996.614340327282,3300.2055210891817,4631.099096345415,4523.613033646173,4445.263060062014,3847.251844098606,4397.503002246862,3263.407619003865,3717.7613581714454
critic_expected_return_losses,13316.821512593764,13094.172608365925,1872.4873856397355,7612.115827596199,5703.427530852801,14443.427302422231,18919.926481888582,3406.394560724351,1835.8543073789804,3676.913988886825,1362.121439985445,17323.053932234096,2102.4757358521256,28926.062502505683,1649.8174562471306,2437.6169546450737,2525.2633783365663,2204.233222629123,9907.228157884123,3136.2653928758814,2632.68464230641,2389.6042171098766,6910.7415538767245,3127.2577840608806,9373.477693512279,2700.7704350224035,15618.629673472908,2846.5702655249497,3078.5485436574877,6378.959261779556,3921.085639656165,3818.9975509852943,3980.8609820026254,4516.295014277346,4740.837433254602,5218.988317587447,4949.265246613383,4835.930702278332,5324.751854643982,5669.455032309957,5641.908914038117,6553.525233037167,6302.274086449897,5889.834099963747,5683.553946319954,5936.91614387068,5665.106951751906,5920.010340962426,6472.441112030698,5683.302288095269,5581.562282918105,6009.612298215086,6138.609637750618,6101.799514039517,5989.585176700877,6255.111838879553,5809.735611101023,4968.823157967,5745.563523929551,5228.42628793434,28077.506084203287,5034.153768100577,5107.683812034809,5610.437446662938,5158.163783474953,5105.616322701954,4736.017911978396,5340.423869634471,4783.51931597013,14025.118408023109,4638.845810991984,4981.0925294354465,4770.037664364866,4610.481181679091,4786.168237060846,5035.6710824709,5020.767295617414,4006.581544484026,4708.654150629278,4543.501231017321,5014.335571602548,4526.496300644775,4894.375032971714,4941.055633651126,4399.421038964031,4559.421446206523,4651.4594945757735,4807.985651187476,4652.376788701784,4768.096788897082,4536.335484048211,4635.462650571184,4328.9101448105785,4328.453465275608,4223.642386544092,4142.1870942339465,4460.855136610658,4568.461051279592,4169.513707578209,4319.715479194584
"Policy(State.B, Action.U)",0.5545056515053954
"Policy(State.B, Action.V)",0.44549434849460456
