n_epochs_elapsed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
n_training_episodes_elapsed,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000
n_training_steps_elapsed,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000,105000,110000,115000,120000,125000,130000,135000,140000,145000,150000,155000,160000,165000,170000,175000,180000,185000,190000,195000,200000,205000,210000,215000,220000,225000,230000,235000,240000,245000,250000,255000,260000,265000,270000,275000,280000,285000,290000,295000,300000,305000,310000,315000,320000,325000,330000,335000,340000,345000,350000,355000,360000,365000,370000,375000,380000,385000,390000,395000,400000,405000,410000,415000,420000,425000,430000,435000,440000,445000,450000,455000,460000,465000,470000,475000,480000,485000,490000,495000,500000
max_expected_returns,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567
scores,71.0,26.0,77.0,55.0,60.0,105.0,90.0,60.0,105.0,52.0,80.0,95.0,65.0,95.0,94.0,90.0,65.0,81.0,87.0,75.0,36.0,88.0,75.0,75.0,75.0,80.0,115.0,135.0,90.0,105.0,75.0,95.0,85.0,80.0,80.0,80.0,61.0,45.0,76.0,110.0,80.0,98.0,71.0,80.0,100.0,80.0,85.0,100.0,85.0,75.0,80.0,65.0,90.0,110.0,85.0,65.0,90.0,75.0,45.0,85.0,95.0,100.0,110.0,85.0,85.0,120.0,75.0,85.0,60.0,95.0,110.0,100.0,120.0,78.0,90.0,110.0,95.0,119.0,100.0,95.0,85.0,95.0,75.0,100.0,65.0,120.0,70.0,80.0,90.0,80.0,70.0,90.0,87.0,75.0,100.0,101.0,105.0,100.0,78.0,100.0
expected_returns,79.88246111434174,29.840206030387733,82.59951287151891,46.84540860637581,66.74640985723701,86.76632961564974,86.78434417585467,84.32024618945582,86.5755158876306,44.685993920782806,86.76442250882833,74.61160378562083,73.83714753092644,86.8034151345211,82.22270783692464,86.74142084196697,85.84829604499096,75.8455437082653,74.21950510430219,81.52101946639738,44.219260888562545,82.47529498724164,86.78763951835873,66.10828983597617,86.23968820420747,86.20388322426467,86.74644683645302,86.80555555531295,86.79967234869139,86.75882369762219,86.80513426441198,86.80455368301173,76.80890089701836,84.4498470877638,86.79229216545473,86.80555281221085,64.93141636222089,82.57888860826137,86.59296975528967,84.8423269706008,86.80525362321153,86.29281634797086,79.22648740405366,86.80555547026978,86.80545163678927,86.80539439161072,86.78065194173001,86.80555488721787,86.18968999769388,86.74237256104234,85.90687274750542,86.80437024215715,86.78777496773239,86.80452371477425,86.74779131765507,86.80555555533127,86.80548922731629,86.44367631185499,86.614583639833,86.80554933310471,86.80514488689667,86.8055405244107,86.80555530691156,83.1343384719248,86.80247515332024,86.80551023406092,86.74636574092575,85.40687571598605,86.79994793293382,86.80555496849297,86.660680639403,86.53541887332213,86.66581078532491,86.56506058795883,86.78446044702716,86.8055389489076,86.80518579491273,86.44209158327304,86.80555504870034,86.80441366564483,80.30125056336453,86.80554022612309,86.6777539010908,86.79555543656075,85.25328171664587,86.57850930421365,86.25592655100371,86.78880474083228,85.43296649996154,86.77206468325505,86.801729826442,85.8546071794515,81.58937093719568,86.80421596465597,86.80368948367654,86.20732145648434,86.80555100701105,86.80450768257775,79.62851940104129,86.8038952731338
critic_evals,67.80450591981793,54.43523407883465,70.90371790477829,64.69020871473649,71.96687836831735,80.98786346067486,81.81294910023553,79.48510306868583,80.2301627458781,71.25924756411455,79.40719314693231,78.01601342852146,70.89674085309592,86.3998103351894,78.63882569322351,82.73122850401596,86.7336167041296,81.13808125208061,77.05060326280301,82.39331329857251,71.73900341864422,84.61347122188334,86.29496080013361,85.37473689026915,82.70489568112178,82.90398858933517,85.48636501571664,86.05211217244803,85.14637564712203,85.02903766909265,80.90482189102659,87.56729115473193,84.32248084471276,83.55692486811607,83.33517341470048,86.190824883252,81.75319579891065,86.42900002712199,83.80241550673406,85.2818457090738,83.08953788331121,89.56823597738115,85.5764105709436,89.59167652844864,87.85781766750783,88.03263147445966,86.54966007593775,83.34347969166218,86.80560130865791,84.9318113988138,86.49950651600213,81.91219034250341,86.56946302048526,87.32367608045048,85.41227727970598,85.80122114393217,89.1573092320578,88.09110804937903,83.68540877530774,83.69551701557639,83.56037387244305,83.1832891340069,82.87878949001055,85.52704981492649,86.22508618296516,84.21582006933114,86.61379381616486,86.15408753192094,88.64765199488802,86.7133628978514,86.89157459783897,83.73615888763133,86.54520381639337,89.40948115239644,88.5157737201732,85.99843414864084,84.80158757791071,86.55038724285521,86.21035746565853,87.72195248242537,84.47405043319515,87.01835479031374,86.98154844378594,83.62201296865707,85.28500082718661,85.06973455351637,86.60656229457103,86.82870521540397,87.70883150972423,85.45437136428609,86.92534793537338,90.18112625168986,83.733651401775,88.7536740415985,86.46142644825208,88.18954401268903,87.31090723698526,86.16548678639657,85.89284308226412,86.45168706815926
critic_score_losses,5.105591208239335,404.28126855905964,18.582327692260403,46.95007246757746,71.6030889410509,288.29135059159677,33.513901217667126,189.83462079865498,306.7724187978425,185.45930836792604,0.17570998252200612,144.22789993008166,17.3857763442852,36.98163113535753,117.9828380415851,26.417519530415035,236.17504752101064,0.00953321608807452,49.49524771707307,27.33054076542455,638.6381826789315,5.734288582506145,63.78806973827743,53.81758277115577,29.682708728484556,4.216574863494438,435.5273249927572,1197.947861389305,11.778834679425056,199.41966821126027,17.433460782373395,27.62258038926308,0.22951610289056953,6.325857258711261,5.561690853062422,19.163156367546105,215.3475679339614,858.1810216236368,30.438843869862094,305.4935757750165,4.772622166207553,35.547322266564805,106.23587256635807,46.00012931319632,73.71629589774248,32.26158420224001,1.2007231754776988,138.71983439103508,1.6300980429135836,49.32043883080393,21.121792475777063,143.01109109053277,5.884291983909063,257.1078332521668,0.08498627768087949,216.34540053938534,0.3550638651875087,85.68855498025823,748.2804260563283,0.8508379283253704,65.4325229691418,141.40088217520523,367.7800297635812,0.1388907537070212,0.750418077846069,640.2537666552419,67.44010340219454,0.665959015667679,410.34398241010587,34.334177231352896,266.99966228362064,132.25626386418662,559.6116938433304,65.08813008344478,1.1014638248642505,288.0375816585651,52.00380796551258,526.488684044327,95.0771206124597,26.484987834037153,0.138311473411107,31.853330126653837,71.77875155539463,134.11922959941853,205.7406292794807,610.0617220809041,137.8889556217342,23.3156074594427,2.6247265254162655,14.875083489772049,143.23370136672398,0.01640335952560941,5.334516582563191,94.58177482127022,91.6464869080441,82.05389130141579,156.45200138927027,95.69687792868395,31.148485960622303,91.77839164954152
critic_expected_return_losses,72.93850084046234,302.4577023519452,68.39580995201763,159.21844545367455,13.626645737590696,16.69533555209508,12.357384498945128,11.689304499164653,20.131753246774142,353.06890459642176,27.06441194177244,5.7950025083374035,4.322995715515169,0.081448417021792,6.42210560996991,8.040821293680498,0.39189633474884017,14.005476826347317,4.007558391533373,0.3804482648253882,378.66811446099297,2.2858988051932894,0.12136615969597447,185.59799104793737,6.247379090631229,5.444652300818253,0.7939030974751482,0.2838384655914639,1.3666949917100628,1.496079852248009,17.406843051762365,0.29088422538306163,28.22694181519766,0.3986550451703143,5.975835028408305,0.18894521332101388,141.48613170831933,7.411678968820472,3.893596507065878,0.09658836073445402,6.903271729871484,5.364186874363134,20.160762112702763,3.8812352754138564,0.5537371313051679,0.7530554287597933,0.026678621031095254,5.992982329840964,0.1896733714867195,1.6390658610851772,0.17560739178130658,11.96671208528804,0.02383005315541693,0.1347595893936152,0.89179887277955,0.504343804960188,2.765528667351183,1.3570156649007463,4.290032693483303,4.836150508035294,5.264269468119183,6.560352567641145,7.70974489039113,2.862533785464449,0.16668901154385427,3.3532475746490618,0.008787657617404316,0.2791627489363576,1.7070051502810322,0.004249688944590421,0.02665601002111586,3.917928233744817,0.0072730204774267134,4.045364173697793,1.498722824885832,0.3257090793068206,2.0072029075868407,0.005863974942168459,0.1771300814294057,0.42093874014951227,8.706129376829187,0.022645019365828436,0.04614556208567579,5.035685897794067,0.000503050986747671,1.1382006241708267,0.06147271233350501,0.0007960239355232436,2.58978077133108,0.8681578414277212,0.007640718427885476,9.359383641221118,2.298969355388262,1.9001933968782414,0.058571992708979774,1.9646031311633267,0.1276924595868739,0.20417385287809883,19.620875591564598,0.06202530982569554
"Policy(State.B, Action.U)",0.022444322965946457
"Policy(State.B, Action.V)",0.9775556770340535
