n_epochs_elapsed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
n_training_episodes_elapsed,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000
n_training_steps_elapsed,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000,105000,110000,115000,120000,125000,130000,135000,140000,145000,150000,155000,160000,165000,170000,175000,180000,185000,190000,195000,200000,205000,210000,215000,220000,225000,230000,235000,240000,245000,250000,255000,260000,265000,270000,275000,280000,285000,290000,295000,300000,305000,310000,315000,320000,325000,330000,335000,340000,345000,350000,355000,360000,365000,370000,375000,380000,385000,390000,395000,400000,405000,410000,415000,420000,425000,430000,435000,440000,445000,450000,455000,460000,465000,470000,475000,480000,485000,490000,495000,500000
max_expected_returns,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567
scores,86.0,28.0,87.0,94.0,49.0,65.0,27.0,57.0,74.0,71.0,85.0,72.0,82.0,61.0,29.0,81.0,74.0,52.0,87.0,60.0,59.0,67.0,66.0,37.0,91.0,61.0,86.0,84.0,55.0,69.0,85.0,87.0,57.0,52.0,63.0,116.0,77.0,76.0,89.0,28.0,61.0,76.0,72.0,50.0,55.0,76.0,79.0,68.0,64.0,80.0,30.0,58.0,68.0,98.0,42.0,90.0,70.0,27.0,66.0,85.0,80.0,102.0,78.0,69.0,81.0,40.0,98.0,82.0,66.0,72.0,33.0,92.0,63.0,42.0,82.0,72.0,64.0,38.0,63.0,65.0,55.0,55.0,83.0,95.0,53.0,109.0,87.0,53.0,79.0,76.0,88.0,68.0,76.0,89.0,66.0,83.0,71.0,66.0,32.0,85.0
expected_returns,85.80362538686259,30.63223397966639,81.60728834239161,76.68570951176505,52.180896081938776,74.87053556110472,32.219226540310856,56.81274159578356,82.36608093758662,78.0657326645926,85.71613813087669,65.55764558115831,72.61237689104243,81.82459539609036,38.90283655957283,83.38034967293028,84.72482795194787,36.8737825393309,84.0100829204271,70.95025110091,43.923161952496805,49.51502114829139,68.90915396338453,70.89940225777534,84.24642694751641,78.31754440347811,83.47757701962566,79.21014989590283,48.68993665071518,76.63429141739792,84.96326878776736,69.47379678982551,66.25919332230605,57.68834578685785,73.757191314592,83.18522135633077,79.45779986134346,64.76938241477745,81.39391732162835,39.65200040218009,76.7449679830891,76.14016246796541,70.43124644027041,66.541195817569,64.10440656568946,72.90615667704252,83.05846867136566,74.7141890688512,73.16083355606065,77.85711583534939,30.053397764466432,62.99151603108719,70.12714448455722,82.8010431989133,56.78014258485784,86.13524918173475,68.91627218477598,37.51469408415601,73.755739881985,72.027649510912,70.81555291843654,80.0018020895453,62.33497920060957,76.2822707217464,64.29763898169,51.729325278807885,81.40663592549247,76.4017157869416,47.244244850314516,78.78341828455825,62.66143815913399,83.64560886920347,57.592660666293625,49.48724291728767,85.479519357403,69.31325092172301,74.28994024683072,42.79181696710557,72.88575204422081,85.20414726914998,60.12279675797872,57.35410610627396,79.56985167446422,75.59636885402844,65.03633984960703,84.4412447060126,77.13358999752461,69.12751235603437,82.61631836910036,80.62373176297544,82.90143022475195,63.746363215135844,83.68199772915466,72.88686439918578,75.07238770399235,69.2553988705514,67.52507914917668,63.075992023664696,43.7146026527773,82.94165445567936
critic_evals,-1.5377601510885947e+27,-1.2823171627762129e+31,6.548504438200842e+31,4.740698151609351e+31,-1.4880320183690318e+32,2.4796951397413655e+30,1.6524710603293697e+32,2.317924212981557e+32,-4.333525533065951e+30,1.789820165303918e+32,-7.704920038772301e+31,-1.4081698226443904e+32,-1.0639678401847029e+32,1.074299024373959e+32,-9.337593513095497e+31,-1.0738281659319983e+32,-3.301374583340931e+31,-1.4163775550005199e+32,-7.077884958329282e+31,8.959571041214086e+31,2.448504917327883e+31,-3.3025772399805363e+31,-1.9098685833187782e+31,1.0699292504714292e+32,1.6077445599214485e+31,-4.92406918875996e+31,3.181799349841018e+30,1.5883887286647729e+32,-4.548184482473448e+31,8.082492102040652e+31,7.117906905589154e+31,-1.5019693346139334e+31,-3.430068278948179e+30,-2.5395785950340986e+31,4.079956112049611e+31,-3.7714566082237016e+31,9.54861896639579e+30,2.3535063817394317e+29,-3.753383180328681e+31,-3.1461658424996236e+31,-1.3871006212690233e+30,3.200377680763805e+30,9.582803201031705e+30,7.022378108516253e+31,-4.968953616892929e+31,5.587979434462763e+31,-4.838508861241418e+30,7.3325332028053355e+31,-2.2001123002975814e+31,-6.810160403137853e+30,-4.372125966259559e+31,-1.9239954012089475e+31,1.7604070204170124e+31,7.426621933965112e+30,2.070477188149536e+31,2.4292835287953815e+31,5.536066785265492e+30,1.2295710007383966e+31,3.1186137681065045e+31,1.2153457115342874e+30,4.951075983283741e+31,2.749675569008911e+30,-3.393847673677417e+31,-4.831018579629153e+30,2.499992452834631e+31,3.617567490226105e+31,1.4941478825625719e+31,1.3771621462483556e+31,-6.356464112807126e+30,4.946540305780467e+30,-1.3008551948317043e+31,2.5083463106496956e+31,-1.961080575210081e+31,-2.0508415205022194e+31,1.383638145688729e+31,3.599761867121912e+31,-2.6785948846616974e+31,6.230310937337852e+31,-1.5156511589288242e+31,-1.6970689671852288e+31,2.5657352462760665e+31,1.6506421891931364e+31,-5.17817570464296e+31,3.08211454834303e+30,-1.1262807838675213e+31,1.5301371727860296e+31,-3.9924387207450886e+31,-3.6943747254846324e+31,-1.9476098509793488e+31,1.762779562267125e+31,-3.5443542825763117e+31,3.402809290091171e+30,2.1622526489169064e+31,1.7523078177026323e+29,-2.3512254359542e+31,-1.6326941824088628e+30,2.43517037568103e+31,-1.764395993133879e+31,4.599106142774642e+31,-4.903390731559386e+30
critic_score_losses,1.1823531411380089e+54,8.221686529752182e+61,2.1441455188568062e+63,1.123710948233616e+63,1.1071196438457073e+64,3.0744439930284753e+60,1.3653303026130358e+64,2.686386328563085e+64,9.389721772867267e+60,1.6017281120642722e+64,2.9682896401937475e+63,9.91471124703167e+63,5.6601378247365074e+63,5.770591968854202e+63,4.359532630790155e+63,5.765534649744396e+63,5.4495370697647535e+62,1.0030626891546254e+64,2.5048227741671955e+63,4.013695662128103e+63,2.9975881650894114e+62,5.453508213018728e+62,1.8237990027740385e+62,5.723743005071771e+63,1.292421284978506e+62,1.2123228687847586e+63,5.0619235513243636e+60,1.2614893766746466e+64,1.0342991043306134e+63,3.2663339289774757e+63,2.5332299358316883e+63,1.1279559410603109e+62,5.882684199123262e+60,3.2247297201776833e+62,8.323020938125488e+62,7.111942473857114e+62,4.5588062082706705e+61,2.769496144444116e+58,7.043942649187121e+62,4.9491797542556835e+62,9.620240667624552e+59,5.121208649765555e+60,4.5915058594851745e+61,2.465689714948415e+63,1.234525002341666e+63,1.5612757079989387e+63,1.1705584000155862e+61,2.6883021585121335e+63,2.4202470669603573e+62,2.318914235823336e+61,9.557742732420542e+62,1.8508791519365894e+62,1.5495164387667518e+62,2.757735667502585e+61,2.1434378933238044e+62,2.9507092316382707e+62,1.5324017725459898e+61,7.55922422928411e+61,4.862875917311725e+62,7.385325992723916e+59,1.2256576696124531e+63,3.780357867402238e+60,5.759101016062807e+62,1.1669370258361038e+61,3.1249811321150574e+62,6.5433972731704e+62,1.1162389474831085e+62,9.482877885296885e+61,2.0202318008702445e+61,1.2234130498355358e+61,8.461121189603156e+61,3.1459006070749694e+62,1.9229185112331512e+62,2.1029754711079276e+62,9.572272591024723e+61,6.479142749992517e+62,3.5874352780679058e+62,1.940838718795583e+63,1.148599217781144e+62,1.4400215396915696e+62,3.291498676991654e+62,1.362309818372155e+62,1.3406751814077307e+63,4.749715044553879e+60,6.342542020546191e+61,1.1706598837708119e+62,7.96978346945234e+62,6.824202306149826e+62,1.8965920658159005e+62,1.5536958925733385e+62,6.28122364020852e+62,5.78955553236539e+60,2.3376682588740893e+62,1.535291343990881e+58,2.7641305253390084e+62,1.3328451466358725e+60,2.9650273792972445e+62,1.5565466102934435e+62,1.0575888656253723e+63,1.2021620333171245e+61
critic_expected_return_losses,1.1823531411380089e+54,8.221686529752182e+61,2.1441455188568062e+63,1.123710948233616e+63,1.1071196438457073e+64,3.0744439930284753e+60,1.3653303026130358e+64,2.686386328563085e+64,9.389721772867267e+60,1.6017281120642722e+64,2.9682896401937475e+63,9.91471124703167e+63,5.6601378247365074e+63,5.770591968854202e+63,4.359532630790155e+63,5.765534649744396e+63,5.4495370697647535e+62,1.0030626891546254e+64,2.5048227741671955e+63,4.013695662128103e+63,2.9975881650894114e+62,5.453508213018728e+62,1.8237990027740385e+62,5.723743005071771e+63,1.292421284978506e+62,1.2123228687847586e+63,5.0619235513243636e+60,1.2614893766746466e+64,1.0342991043306134e+63,3.2663339289774757e+63,2.5332299358316883e+63,1.1279559410603109e+62,5.882684199123262e+60,3.2247297201776833e+62,8.323020938125488e+62,7.111942473857114e+62,4.5588062082706705e+61,2.769496144444116e+58,7.043942649187121e+62,4.9491797542556835e+62,9.620240667624552e+59,5.121208649765555e+60,4.5915058594851745e+61,2.465689714948415e+63,1.234525002341666e+63,1.5612757079989387e+63,1.1705584000155862e+61,2.6883021585121335e+63,2.4202470669603573e+62,2.318914235823336e+61,9.557742732420542e+62,1.8508791519365894e+62,1.5495164387667518e+62,2.757735667502585e+61,2.1434378933238044e+62,2.9507092316382707e+62,1.5324017725459898e+61,7.55922422928411e+61,4.862875917311725e+62,7.385325992723916e+59,1.2256576696124531e+63,3.780357867402238e+60,5.759101016062807e+62,1.1669370258361038e+61,3.1249811321150574e+62,6.5433972731704e+62,1.1162389474831085e+62,9.482877885296885e+61,2.0202318008702445e+61,1.2234130498355358e+61,8.461121189603156e+61,3.1459006070749694e+62,1.9229185112331512e+62,2.1029754711079276e+62,9.572272591024723e+61,6.479142749992517e+62,3.5874352780679058e+62,1.940838718795583e+63,1.148599217781144e+62,1.4400215396915696e+62,3.291498676991654e+62,1.362309818372155e+62,1.3406751814077307e+63,4.749715044553879e+60,6.342542020546191e+61,1.1706598837708119e+62,7.96978346945234e+62,6.824202306149826e+62,1.8965920658159005e+62,1.5536958925733385e+62,6.28122364020852e+62,5.78955553236539e+60,2.3376682588740893e+62,1.535291343990881e+58,2.7641305253390084e+62,1.3328451466358725e+60,2.9650273792972445e+62,1.5565466102934435e+62,1.0575888656253723e+63,1.2021620333171245e+61
"Policy(State.B, Action.U)",0.07568330449980278
"Policy(State.B, Action.V)",0.9243166955001972
