n_epochs_elapsed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
n_training_episodes_elapsed,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000
n_training_steps_elapsed,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000,105000,110000,115000,120000,125000,130000,135000,140000,145000,150000,155000,160000,165000,170000,175000,180000,185000,190000,195000,200000,205000,210000,215000,220000,225000,230000,235000,240000,245000,250000,255000,260000,265000,270000,275000,280000,285000,290000,295000,300000,305000,310000,315000,320000,325000,330000,335000,340000,345000,350000,355000,360000,365000,370000,375000,380000,385000,390000,395000,400000,405000,410000,415000,420000,425000,430000,435000,440000,445000,450000,455000,460000,465000,470000,475000,480000,485000,490000,495000,500000
max_expected_returns,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567,86.80555555555567
scores,48.0,94.0,65.0,69.0,77.0,70.0,69.0,76.0,71.0,66.0,67.0,84.0,90.0,57.0,76.0,105.0,79.0,81.0,79.0,77.0,86.0,33.0,90.0,82.0,84.0,83.0,68.0,77.0,77.0,83.0,83.0,86.0,85.0,75.0,65.0,45.0,73.0,82.0,86.0,90.0,83.0,88.0,84.0,90.0,83.0,84.0,86.0,72.0,86.0,84.0,79.0,82.0,85.0,86.0,86.0,85.0,77.0,82.0,75.0,89.0,83.0,86.0,87.0,85.0,75.0,85.0,80.0,82.0,88.0,84.0,81.0,80.0,79.0,83.0,86.0,77.0,83.0,79.0,83.0,80.0,78.0,84.0,91.0,82.0,77.0,83.0,84.0,88.0,90.0,78.0,83.0,83.0,85.0,81.0,86.0,82.0,80.0,88.0,82.0,79.0
expected_returns,56.49054024826745,85.74509773339791,67.86598728986742,73.03602800414087,80.90293576914125,57.39770215239659,75.23886354477213,73.83561564616927,79.60716736461075,65.02178175833569,65.38658358522319,82.9686381676764,82.25312853044097,60.09823025212502,75.86636253388735,86.62625429134197,80.23016131578174,82.5231738399883,77.9491182917961,76.88737772269984,82.93192691801508,33.8283909707864,82.14975123691757,80.89784406917033,82.21007675695196,80.16352817089715,61.35837856760132,82.41125765122376,78.26797736297041,82.34374472952841,82.47403608381308,82.68912529085037,82.40028279944434,79.15212001298364,61.41036062278705,43.08066596293817,82.88479109876545,82.83908934275378,82.84573024055285,83.06233598321437,82.63597405450966,81.86157579327596,82.46203882010333,82.63888870968036,82.6373917649736,82.47817765637058,82.47483006755462,72.28495750794934,82.53280175531984,82.58645785599468,79.37495928353171,81.23680728715469,82.15635583749363,82.58817043831651,81.80454659004783,82.17786211904092,80.03325914949701,82.70647938167188,82.75539976915911,82.73996858680111,82.63888891627188,82.63682728394637,82.58441408465352,82.64235023318358,81.3722435998212,82.63994959728082,81.99848643405943,82.62658461532223,82.40063692004765,82.56202715627784,78.49133851340454,82.64114800865597,82.63609673906276,82.63889029766368,82.3384411173936,82.04126459693192,82.57599926071701,82.58730504374014,82.63732785982677,82.55834571294064,82.67985469828537,82.65065497786463,82.70047358011688,80.62453941882734,81.219121891401,82.63933520927395,82.61559746929555,82.73219785940094,82.58240539841796,82.6236025304203,82.63310492757321,82.63958498432865,82.62668784424314,82.5006710037665,82.63401591071279,82.59465334363479,81.94028184131892,82.35404012934157,82.61593266213035,82.25483679467122
critic_evals,1.741128892287327,3.299895380940149,4.509513477038701,5.4046306473637244,6.496834621315304,6.610996623002392,8.64979958892055,9.657689370234792,10.222897916661017,11.306400996967595,11.821599606804623,13.091648448654754,14.132621544170163,14.261321648499553,15.450232804192819,14.421881132267139,17.034252726212674,18.09364934583934,18.73408520080706,18.95438055819044,19.478328367271835,20.298078739809636,21.36129887275212,22.44985072188211,23.181857528213076,23.806550929383537,24.311808718375605,23.367726529915366,25.859708042626025,26.592132583270004,27.283782142701597,27.375800122884556,28.555178141142502,29.036875315104943,29.1731315036451,29.198615542277036,29.520841896818204,31.395619674862942,31.487971439644134,32.026152463417276,32.97482992026714,33.09514670750178,33.92608384597717,34.43582650186627,34.79963912890364,35.21270226422077,35.60106304977895,35.857325254219106,36.396586950284224,36.15492046098103,36.976389853973366,37.401221216391825,37.74617752667033,38.04104285751921,38.31467946422821,38.55698440579597,38.73631607612504,39.015965126812546,38.00212150162099,39.31920068333387,39.61649423168571,39.80202302050354,39.96417510708013,40.102551678262635,40.15238262516916,40.34875252129756,40.40637271511484,40.531040313179986,40.66581132207701,40.47829727192164,40.75479596384369,40.83027244107634,40.89728299156137,40.981623078662196,41.075277700122605,41.06965937543467,41.1726812641203,41.18177678608637,41.283859896517704,41.30233045266888,41.31744242306084,41.402223377538164,41.49438079199694,41.406899486212914,41.41037987874171,41.530547614386165,41.564860660008165,41.634216138746275,41.67176880164698,41.605107452208586,41.6641001119001,41.69338434354644,41.7299077176017,41.725398421840644,41.76731868836625,41.75817237376102,41.749872386454165,41.837736762016775,41.802666499736716,41.79273602134152
critic_score_losses,1069.941578079987,4113.254488954201,1829.5494798922812,2022.1855015491146,2485.3481642070824,2009.082874564507,1821.073344828727,2200.651089848129,1846.9280688243039,1495.6948859522536,1522.3279349758918,2513.997159864583,2877.9295568800567,913.2973136165065,1833.1371537332236,4102.197808808572,1919.876917599441,1978.6044763121097,1815.9902432917913,1684.6469681916901,2212.566398406255,80.66940185003799,2355.63564621783,1773.1101395230621,1849.4232268592864,1751.9322064378327,954.3290287299011,1438.2103787849721,1307.6647307427247,1590.923753251695,1552.1484661609688,1718.3984056159911,1593.0089573390785,1056.3044153996047,641.7822531275538,124.84187539038443,945.2185946807396,1280.4016540455593,1485.7806288825268,1680.4834990974693,1251.2588207530998,1507.2714575353762,1253.6985395000545,1543.6886882653532,1161.6373940519584,1190.1002101797844,1270.0264228561782,653.146468889654,1230.2492930903568,1144.5758180475257,882.9919048526164,994.5255344946094,1116.4618691704782,1150.0307850971546,1136.9448972996493,1078.4768487417393,732.0547537131034,923.8136269896976,684.4215066904079,1234.090910371427,941.0642863746798,1067.1265384990425,1106.1844116787101,1007.8904329015387,607.1782183513061,996.8669507021654,783.8276607872012,859.8373087535517,1120.2627088986064,947.0693041756117,809.8382239559261,767.1337785201518,725.9085217125793,882.7719995518067,1009.1153368605507,645.494688698645,874.7622963164365,715.109003528698,870.1181725666819,748.754814197219,672.8050151927283,907.2852865885781,1225.4031665839009,823.8999046612107,633.3105301877365,859.8577405813464,900.3705254022614,1074.8929565342482,1167.8089653807313,662.2941017826415,854.3283097795088,853.1182484949871,936.1504430636326,771.2471645615786,978.2650480082767,809.7023453499654,731.5361312262709,1065.4772736264288,807.9128102656945,692.1902463887885
critic_expected_return_losses,1498.7490219131626,3398.6056954688543,2007.0213869978256,2287.002954215141,2768.133944010253,1289.6447292646997,2217.0517192582465,2059.4031105396407,2407.0884234128453,1442.6710651693768,1434.6037543041189,2441.3968460961287,2320.201736033285,1050.5110951685572,1825.0543657576397,2606.735751647463,1996.861431230585,2075.5818132710706,1753.2100719834634,1678.1160802315271,2013.1795845194426,91.53467453385973,1847.6179704152062,1708.083963162324,1742.16533265803,1588.054441900242,686.2241687967801,1743.0692836364567,1373.3133465768753,1554.121128453414,1522.9820650421855,1529.7819705685602,1449.647647831739,1255.7688755641295,519.6194706400271,96.35566194088898,1423.8555372140029,1323.2152857356023,1318.8096945261584,1302.346014133204,1233.1146183610051,1189.0823028889208,1177.869462625201,1161.7676031051972,1144.225288634909,1117.0125820229594,1098.575017218357,663.4861958065038,1064.2751582681938,1077.9438324322755,898.8193448365396,960.7793030836297,986.1319687995604,992.2232878499158,945.6842713107231,951.3904862369351,852.7187536026626,954.4305179270335,1001.42795784585,942.6815426633856,925.4632221981543,917.4102281437301,908.2423852527329,904.817230546627,849.5384693848213,894.2726750598273,864.9519618048093,886.0174250468102,870.8978338465124,885.5201604897273,712.0233217974084,874.0746578638139,871.0642865243058,867.6639560776478,851.3243276002057,839.3362172131107,857.1173705636546,857.2088851476827,855.0546562962146,851.0293975778878,855.4245746128224,850.7165547434056,848.971041431575,769.0116409420967,792.3679703152326,844.9662087608,842.5814962926912,844.5220507556326,836.8400933765287,841.2584692406393,839.2296777933235,838.2956734575966,836.2733123634271,831.3114270651772,835.0434709314732,833.8090890014312,807.6345060748412,820.7854192765473,832.8613474211925,818.590799495544
"Policy(State.B, Action.U)",0.45656753723369037
"Policy(State.B, Action.V)",0.5434324627663096
