n_epochs_elapsed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
n_training_episodes_elapsed,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000
n_training_steps_elapsed,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000,105000,110000,115000,120000,125000,130000,135000,140000,145000,150000,155000,160000,165000,170000,175000,180000,185000,190000,195000,200000,205000,210000,215000,220000,225000,230000,235000,240000,245000,250000,255000,260000,265000,270000,275000,280000,285000,290000,295000,300000,305000,310000,315000,320000,325000,330000,335000,340000,345000,350000,355000,360000,365000,370000,375000,380000,385000,390000,395000,400000,405000,410000,415000,420000,425000,430000,435000,440000,445000,450000,455000,460000,465000,470000,475000,480000,485000,490000,495000,500000
max_expected_returns,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573,86.80555555555573
scores,76.0,91.0,60.0,82.0,50.0,67.0,77.0,89.0,73.0,115.0,80.0,110.0,74.0,95.0,113.0,80.0,67.0,90.0,80.0,80.0,75.0,70.0,70.0,70.0,82.0,85.0,70.0,75.0,65.0,85.0,107.0,115.0,86.0,75.0,75.0,90.0,89.0,105.0,80.0,76.0,75.0,65.0,105.0,80.0,90.0,65.0,90.0,90.0,95.0,70.0,90.0,88.0,75.0,70.0,90.0,76.0,105.0,60.0,80.0,81.0,105.0,105.0,85.0,85.0,65.0,65.0,96.0,75.0,81.0,75.0,71.0,115.0,69.0,100.0,110.0,95.0,55.0,70.0,100.0,80.0,80.0,75.0,90.0,90.0,80.0,80.0,73.0,98.0,70.0,115.0,95.0,70.0,90.0,80.0,75.0,70.0,105.0,85.0,110.0,75.0
expected_returns,76.73977811996056,83.4224867519624,66.46286145419674,80.62695548707084,57.5478963714789,85.98918591409709,66.39931884401558,85.22038100371722,59.28667527268624,86.76443990344326,86.31961644790424,86.78233418071316,75.15015003353476,86.80493351373593,81.65661872402278,86.60340270367813,77.74461543685106,80.71363940589816,86.80555385732251,86.80555510545577,52.7090153684306,86.80555548580176,86.80553830306361,81.90384408633821,86.55312977956119,86.80520819552974,86.62533804116715,86.80555275549706,86.80125935444221,86.80555305133292,85.79622314635112,85.8665647211184,86.20462351771859,86.80553557840418,86.45110322040618,86.80381367749024,81.99133220903369,86.8055408845765,86.80555555550043,79.52693855175714,85.98595040097752,86.80555544375791,83.85519353262772,86.20167464102826,85.85343031742771,81.54334643858547,86.80555555554295,86.7900582925907,86.80555555262053,86.80552398124131,86.79820438861927,83.20536399389249,86.80553659868322,86.80474286248409,86.70463488559734,83.89028505095203,86.80537826258772,86.74711028354133,86.7935103093442,81.40885889659471,86.80504711013802,82.71924958326144,86.80273029814835,86.68991817888582,86.80553366709363,86.73028853210029,86.50748244833177,85.3970835758551,86.27410124813238,86.77610625657292,84.11985609466933,86.72369682682633,85.32048241068306,86.80181146354177,86.33894016406676,86.80428600666987,83.07527641865953,86.80531922797067,86.80211946971264,86.80555292453131,86.8055373033374,86.145765953376,86.80083597370525,86.78561978880725,86.63680210937292,86.35859636204297,85.96244728771215,86.40292529460598,86.79637957369056,86.76932574239889,86.8050434209883,86.47380446352966,86.8055493772883,86.76609546153418,86.72607608720303,86.80555552261602,86.74362933698616,86.44604321432534,86.80473267200472,86.69193408061382
critic_evals,5.374495454910035,7.57560810467334,9.861653532830864,11.933714853610754,11.6139694349927,16.03233909824586,16.580945010304564,19.56197170496176,20.849846730246565,23.85887033673526,25.696538772224404,27.879078028966273,28.741005260636467,31.429804286745465,32.92482573599339,35.01446371648054,35.429697477621865,37.77792376318928,40.62436202107429,42.25364971365312,41.56409762677292,45.590864114945504,47.281150547640216,46.70923183393267,50.20800075006974,51.81603762035496,53.29344606705871,54.604373813368376,56.03556220184003,57.51421258180149,58.8640560473473,60.39856843729157,61.189015783073955,62.53226599060733,63.757140332981905,65.01620134530067,65.63269292385723,67.37191040283075,68.17224434525774,68.86177382041792,70.11720224148863,71.23591274280012,72.48140617592284,73.17358811535199,74.15787160559222,70.52579908061563,75.71183130403121,76.41442019317331,77.02895435441873,77.66294878611306,78.44583067424267,78.13736430351906,79.51534262774678,80.13191919324264,80.64079431361199,81.01641655983623,81.85093371069564,82.08643543651995,82.57720764337071,82.69277750142614,83.57997531617495,83.82618396379652,84.00722797996318,84.28775704135495,84.34865967386577,84.46711126779212,84.83258654394702,84.78967533721442,84.7569345070533,85.02903929616714,84.86200002937177,85.48606761379601,84.88869297761875,85.66096520179195,85.84972486341564,85.81231758266412,85.36298397605016,85.64714386481336,85.871982857655,85.67756713638322,85.75147662629999,85.49597698997768,85.83090595580242,85.79882997840788,85.73618328382312,85.64972845545537,85.62500720823515,85.92813670430112,85.89547362606048,86.26191567736987,86.206841765229,86.18036577882748,86.30280420650007,86.18246218597274,86.19522300972977,86.10529748926012,86.46384149438084,86.32719692418408,86.60765971673304,86.32415896581017
critic_score_losses,2493.9809461242617,3479.8145815525227,1256.9268932309458,2454.6421571075634,736.7436712688375,1298.851228898099,1825.2311029239206,2410.8198867512656,1359.8192430293873,4153.3527581480175,1474.432950658264,3371.9229126863047,1024.188302408868,2020.5848915107426,3206.016766705514,1011.8492373579228,498.34200067723765,1363.5726232416355,775.2204331237084,712.3934799697996,558.9797837559861,297.9029573275276,258.0730602194942,271.22994088274766,505.365608153783,550.5876796068486,139.55447215713804,207.99078377240681,40.18057251853959,377.73425499919983,1158.5345501064612,1490.658164348566,307.79246890627667,77.72219566448334,63.200946746131116,312.09509760927796,273.0155199953759,707.9365633662984,69.94790191414377,25.477136495435467,11.920856975261843,19.443303867908487,528.7294721476545,23.2999496094318,125.48651603245061,15.267227739666255,102.07588234223127,92.28398934382851,161.47924079778278,29.360392049295832,66.74941440413578,48.63579144075,10.19415952297358,51.32789326919927,43.79736554005882,12.58221755089958,267.9396350333037,243.90531514578208,3.3209996185242114,1.4327478346672555,229.40872872783717,224.16524276749374,0.49279814188399823,0.2536450160697268,187.1853155875397,189.48421055629947,62.355561649216625,47.91887160403213,7.0572784451439174,50.290814602032356,96.07752240715149,435.5361024487104,126.22528226851563,102.80395947211065,291.61789458636224,42.206754100911425,460.9553979649394,122.41655556308316,99.80043418719711,16.117384294069364,16.539741691437555,55.08276648707043,8.69067257468186,8.824914775162165,16.45189933280592,15.959715810191085,79.69540350399471,72.86494171502086,126.33304089839214,412.9387452672998,38.65981587086052,130.9021183683257,6.834628367736787,19.111419340491405,62.666509118791474,129.69030360878423,171.7945860727187,0.8807258377818403,273.6007919640771,64.11828814146944
critic_expected_return_losses,2546.501784931281,2876.3745002682967,1601.8483690788457,2359.3806543632263,1054.9628219032263,2446.9802082082374,1240.9351857176914,2155.513355821449,738.6948942004525,1978.5553412559696,1837.5787734357555,1734.7967926391539,1076.9043592759162,1533.202468452947,1187.3938239140753,1330.7093129123975,895.2761409481488,921.7378388757783,1066.3512397081795,992.436137020067,62.104595734158046,849.3253923974667,781.0886137205315,619.3303657985871,660.4842020851909,612.1210287693384,555.5075112868175,518.4579626314959,473.2640606428169,428.991313251005,362.67081232433213,324.3094173565084,312.8903151668062,294.59580824093166,257.50797576789523,237.35002556888946,133.80253963125915,188.8329968505188,173.60014332887803,56.872869373300965,125.90858407464098,121.20688691774403,64.6815194177699,84.86551926025382,68.3930467909955,60.69317489255417,61.53535888428991,53.82693298504082,47.79096549434046,41.793340599287134,34.88107333230455,12.842310430812573,26.573464066939028,22.26328786039448,18.385081241227823,4.129560052114104,12.273260408886562,10.860945014828896,8.888604085547566,0.8242234919161396,5.200544038108079,0.6126518614052904,3.907416605489334,2.885189065331797,3.018114909299703,2.560985664840704,1.402638145262413,0.184472384184291,1.1508974601182587,1.5261214820707363,0.27538880990781,0.765863034473021,0.0932210572529991,0.6507650964742632,0.11966580519557839,0.4920006771122235,2.616802934071107,0.6706850859122859,0.43257705854503004,0.6361759691320396,0.5555219554382843,0.21111284847713294,0.4703821198144878,0.48687706495401467,0.40555713446734953,0.2512468544949427,0.05693290361872386,0.1127121027418353,0.40581576323762547,0.1287324870463774,0.17892261047658228,0.043053130839873076,0.12637635337544362,0.17031390017128747,0.14090249493141185,0.2451806566397321,0.03914061843486853,0.007062220340170689,0.019418874849756598,0.06762926753441868
"Policy(State.B, Action.U)",0.5175946088841445
"Policy(State.B, Action.V)",0.48240539111585545
